car_id,car_company,car name,model_year,price,km covered,mileage,description,customer review rating (out of 10),customer review description
1,"Toyota","Corolla Altis",2018,1100000,30000,15,"Well-maintained Toyota Corolla Altis with low mileage. This car has been used for 4 years.",9,"Great car, smooth ride. No complaints."
2,"Honda","City",2017,950000,35000,16,"Honda City in excellent condition with all service records. This car has been used for 5 years.",8,"Comfortable and fuel-efficient. Ideal for city driving."
3,"Maruti Suzuki","Swift",2019,800000,25000,18,"Maruti Suzuki Swift with stylish looks and great fuel efficiency. This car has been used for 3 years.",8.5,"Fun to drive and easy to maneuver. Great value for money."
4,"Hyundai","i20",2016,700000,40000,17,"Hyundai i20 with modern features and spacious interior. This car has been used for 6 years.",7,"Decent car for daily commuting. Fuel economy could be better."
5,"Volkswagen","Polo",2015,600000,45000,16,"Volkswagen Polo known for its solid build quality and handling. This car has been used for 7 years.",7.5,"Sporty and fun to drive. Maintenance costs are manageable."
6,"Ford","Figo",2017,650000,40000,17,"Ford Figo with a peppy engine and comfortable ride. This car has been used for 5 years.",8,"Smooth driving experience. Interior could be more refined."
7,"Toyota","Innova Crysta",2019,1600000,20000,14,"Spacious and reliable Toyota Innova Crysta suitable for family trips. This car has been used for 3 years.",9,"Luxurious interior with plenty of legroom. Good resale value."
8,"Honda","Amaze",2018,900000,30000,19,"Honda Amaze with fuel-efficient engine and comfortable cabin. This car has been used for 4 years.",8.5,"Smooth CVT transmission. Good value for money."
9,"Maruti Suzuki","Dzire",2020,850000,20000,20,"Maruti Suzuki Dzire with refined engine and feature-packed cabin. This car has been used for 2 years.",9,"Excellent fuel economy and spacious interior."
10,"Hyundai","Verna",2021,1200000,15000,16,"Hyundai Verna with sleek design and premium features. This car has been used for 1 year.",8,"Smooth automatic transmission. Stylish exterior."
11,"Volkswagen","Vento",2018,1000000,25000,15,"Volkswagen Vento known for its solid build and comfortable ride. This car has been used for 4 years.",8,"Sturdy build quality. Interior could be more luxurious."
12,"Ford","Aspire",2017,750000,35000,18,"Ford Aspire with a fun-to-drive nature and well-equipped cabin. This car has been used for 5 years.",7.5,"Responsive handling. Average fuel economy."
13,"Toyota","Fortuner",2019,2500000,15000,12,"Toyota Fortuner with powerful engine and off-road capability. This car has been used for 3 years.",9,"Tough and reliable SUV. High ground clearance."
14,"Honda","CR-V",2017,1800000,20000,13,"Honda CR-V with spacious interior and comfortable ride. This car has been used for 5 years.",8,"Smooth CVT transmission. Good for long drives."
15,"Maruti Suzuki","Ertiga",2018,1100000,30000,18,"Maruti Suzuki Ertiga with versatile seating and fuel-efficient engine. This car has been used for 4 years.",8.5,"Good family car with ample space. Affordable maintenance."
16,"Hyundai","Creta",2020,1400000,25000,17,"Hyundai Creta with stylish design and feature-rich cabin. This car has been used for 2 years.",9,"Smooth automatic transmission. Excellent build quality."
17,"Volkswagen","Tiguan",2019,2000000,20000,14,"Volkswagen Tiguan known for its premium interior and smooth ride. This car has been used for 3 years.",8.5,"Luxurious SUV with good handling. Expensive maintenance."
18,"Ford","Endeavour",2018,2200000,25000,12,"Ford Endeavour with rugged looks and powerful engine options. This car has been used for 4 years.",9,"Great off-road capabilities. Comfortable for long journeys."
19,"Toyota","Camry",2021,3000000,10000,15,"Toyota Camry with hybrid powertrain and luxurious features. This car has been used for 1 year.",9.5,"Smooth and refined ride. Excellent fuel economy."
20,"Honda","Accord",2020,3200000,15000,14,"Honda Accord with premium amenities and comfortable seating. This car has been used for 2 years.",9,"Spacious cabin with high-quality materials."
21,"Maruti Suzuki","Ciaz",2019,1000000,30000,16,"Maruti Suzuki Ciaz with elegant design and spacious cabin. This car has been used for 3 years.",8.5,"Smooth driving experience. Good fuel economy."
22,"Hyundai","Elantra",2020,1300000,20000,17,"Hyundai Elantra with striking looks and feature-packed cabin. This car has been used for 2 years.",9,"Stylish sedan with comfortable ride quality."
23,"Volkswagen","Passat",2018,1800000,25000,15,"Volkswagen Passat known for its refined engine and upscale interior. This car has been used for 4 years.",8,"Comfortable and spacious. Decent fuel economy."
24,"Ford","Mustang",2017,3500000,15000,12,"Iconic Ford Mustang with powerful V8 engine and sporty design. This car has been used for 5 years.",9.5,"Aggressive styling and exhilarating performance."
25,"Toyota","Yaris",2021,1200000,10000,16,"Toyota Yaris with reliable performance and comfortable ride. This car has been used for 1 year.",8.5,"Smooth CVT transmission. Good build quality."
